aX,aY,aZ
0.204,-0.120,0.600
0.159,-0.095,0.630
0.119,-0.064,0.688
0.102,-0.039,0.750
0.037,-0.002,0.776
0.000,0.032,0.819
-0.008,0.079,0.838
-0.021,0.079,0.858
-0.032,0.035,0.930
-0.045,0.027,0.989
-0.018,0.006,1.014
-0.007,-0.010,1.051
0.017,-0.022,1.068
0.050,-0.046,1.096
0.069,-0.078,1.105
0.111,-0.099,1.101
0.151,-0.141,1.095
0.179,-0.161,1.077
0.130,-1.029,0.923
0.101,-0.959,0.895
0.067,-0.812,0.895
0.076,-0.862,0.925
0.061,-0.874,0.964
0.064,-0.874,0.981
0.070,-0.873,1.014
0.075,-0.867,1.038
0.072,-0.854,1.048
0.064,-0.838,1.060
0.050,-0.828,1.068
0.040,-0.821,1.069
0.029,-0.813,1.071
0.019,-0.810,1.063
0.000,-0.791,1.064
-0.016,-0.773,1.056
-0.028,-0.768,1.046
-0.043,-0.757,1.037
-0.041,-0.742,1.012
-0.051,-0.734,0.978
-0.071,-0.711,0.958
-0.085,-0.679,0.928
-0.080,-0.657,0.908
-0.080,-0.657,0.898
-0.065,-0.658,0.876
-0.051,-0.673,0.861
-0.024,-0.723,0.858
-0.001,-0.773,0.825
0.003,-0.807,0.783
0.020,-0.820,0.739
0.041,-0.831,0.712
0.049,-0.838,0.650
0.065,-0.854,0.620
0.086,-0.858,0.590
0.102,-0.870,0.547
0.137,-0.858,0.490
0.178,-0.786,0.468
0.204,-0.704,0.439
0.262,-0.656,0.396
0.350,-0.535,0.376
0.395,-0.380,0.347
0.480,-0.299,0.326
0.606,-0.152,0.320
0.665,0.037,0.308
0.788,0.125,0.314
0.865,0.328,0.359
1.006,0.440,0.376
1.139,0.637,0.376
1.205,0.781,0.360
1.319,0.856,0.331
1.368,1.008,0.305
1.365,1.094,0.289
1.322,1.292,0.305
1.294,1.463,0.345
1.182,1.546,0.389
0.991,1.704,0.525
0.870,1.806,0.796
0.606,1.968,1.003
0.342,2.192,1.624
0.135,2.307,2.423
-0.246,2.418,2.833
-0.486,2.306,3.608
-0.999,2.313,4.237
-1.476,2.094,4.193
-1.749,1.746,4.133
-2.224,1.622,3.959
-2.664,1.274,3.768
-2.873,0.956,3.467
-3.088,0.977,3.365
-2.925,1.091,3.460
-2.746,1.269,3.674
-2.268,1.325,3.538
-1.530,1.240,3.308
-1.087,0.938,2.654
-0.201,0.738,1.760
0.564,0.251,1.271
0.882,-0.158,0.335
1.411,-0.330,-0.307
1.743,-0.568,-0.622
1.792,-0.728,-1.004
1.857,-0.725,-1.090
1.726,-0.590,-1.193
1.626,-0.537,-1.198
1.394,-0.434,-0.994
1.162,-0.276,-0.884
1.059,-0.168,-0.590
0.875,-0.116,-0.248
0.702,-0.025,-0.056
0.548,0.074,0.366
0.468,0.102,0.726
0.289,0.129,0.871
0.204,0.145,1.110
0.046,0.142,1.329
-0.098,0.158,1.336
-0.164,0.176,1.416
-0.256,0.208,1.443
-0.279,0.234,1.445
-0.291,0.248,1.378
-0.269,0.261,1.327
-0.241,0.226,1.209
-0.159,0.195,1.064
-0.046,0.131,0.996
0.010,0.063,0.871
0.130,0.028,0.767
0.202,-0.023,0.717
0.236,-0.075,0.653
0.284,-0.095,0.510
0.299,-0.116,0.612
0.307,-0.122,0.622
0.321,-0.121,0.676
0.334,-0.130,0.707
0.335,-0.143,0.753
0.319,-0.169,0.776
0.311,-0.186,0.837
0.303,-0.180,0.916
0.270,-0.169,0.998
0.229,-0.138,1.043
0.204,-0.114,1.118
0.169,-0.112,1.182
0.107,-0.950,0.952
0.111,-0.950,0.948
0.118,-0.954,0.947
0.125,-0.961,0.942
0.137,-0.968,0.934
0.137,-0.983,0.927
0.137,-0.977,0.913
0.133,-0.969,0.898
0.132,-0.949,0.895
0.137,-0.943,0.886
0.142,-0.935,0.875
0.150,-0.918,0.874
0.144,-0.910,0.858
0.136,-0.893,0.848
0.138,-0.868,0.840
0.153,-0.836,0.825
0.163,-0.821,0.800
0.148,-0.805,0.789
0.143,-0.798,0.770
0.155,-0.789,0.734
0.166,-0.744,0.717
0.175,-0.730,0.702
0.184,-0.720,0.672
0.192,-0.687,0.658
0.199,-0.639,0.636
0.220,-0.614,0.614
0.245,-0.561,0.599
0.258,-0.494,0.548
0.276,-0.458,0.491
0.299,-0.407,0.468
0.305,-0.361,0.442
0.310,-0.324,0.411
0.336,-0.261,0.397
0.359,-0.163,0.367
0.395,-0.083,0.360
0.423,0.079,0.367
0.450,0.214,0.402
